2990 	MUH 	212 	01 	HISTORY OF ROCK & ROLL-A  Requires at least Sophomore standing. 	MW 	01:00pm-02:15pm 	MB161	5 of 100 	0 of 10 	Mulhall, S 	3.00 	BELKNAP
5596 	MUH 	212 	02 	HISTORY OF ROCK & ROLL-A  Requires at least Sophomore Standing 	TR	11:00am-12:15pm 	MB161	8 of 100 	0 of 10 	Hausmann, J 	3.00 	BELKNAP
4139 	MUH 	218 	01 	SURVEY OF AMERICAN JAZZ-ACD1 	TR	01:00pm-02:15pm 	MB161	9 of 90 	0 of 5 	Tolson, G 	3.00 	BELKNAP
7204 	PAS 	214 	50 	AFRICAN AMERICAN MUSIC - ACD1  This course is offered as part of the Kentucky Virtual Campus program.  The section above is delivered online over the Internet. Online courses are charged at a different hourly rate than regular courses. These rates are available at http://louisville.edu/finance/bursar/tuition. Students are charged in full for online courses according to those rates even if taking a full-time course load. 	  	TBA 	DISTNCE ED	6 of 45 	0 of 5 	Chenault, J 	3.00 	DISTANCEED
1870 	PAS 	218 	01 	SURVEY OF AMERICAN JAZZ-ACD1 	TR	01:00pm-02:15pm 	MB161	1 of 30 	0 of 5 	Tolson, G 	3.00 	BELKNAP
  	TA 	207 	01 	ENJOYMENT OF THEATRE-A  This class listed above has two components that meet at 2 different times. Select one of the section(s) below that match this section number but ends with an alphabetic suffix. When you register for that section, you will automatically be registered for this section above, and will be required to attend both meeting times. 	MW 	11:00am-11:50am 	SK102	15 of 216 	0 of 50 	Vandenbroucke, R 	  	BELKNAP
1208 	TA 	207 	01B 	ENJOYMENT OF THEATRE-A 	F 	09:00am-09:50am 	HM112	2 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1209 	TA 	207 	01C 	ENJOYMENT OF THEATRE-A 	F 	09:00am-09:50am 	HM101	0 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1210 	TA 	207 	01D 	ENJOYMENT OF THEATRE-A 	F 	10:00am-10:50am 	DA108	2 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1211 	TA 	207 	01E 	ENJOYMENT OF THEATRE-A 	F 	10:00am-10:50am 	DA111	1 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1212 	TA 	207 	01F 	ENJOYMENT OF THEATRE-A 	F 	10:00am-10:50am 	ED113	1 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1213 	TA 	207 	01G 	ENJOYMENT OF THEATRE-A 	F 	11:00am-11:50am 	HM101	5 of 18 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1580 	TA 	207 	01H 	ENJOYMENT OF THEATRE-A 	F 	11:00am-11:50am 	DA111	2 of 18 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
1581 	TA 	207 	01I 	ENJOYMENT OF THEATRE-A 	F 	11:00am-11:50am 	DA203	2 of 18 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
4856 	TA 	207 	01L 	ENJOYMENT OF THEATRE-A 	F 	09:00am-09:50am 	DA203	0 of 24 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
5947 	TA 	207 	01M 	ENJOYMENT OF THEATRE-A 	F 	11:00am-11:50am 	DA108	0 of 18 	0 of 5 	Vandenbroucke, R 	3.00 	BELKNAP
4806 	TA 	207 	50 	ENJOYMENT OF THEATRE-A  This course is offered as part of the Kentucky Virtual Campus program.  The section above is delivered online over the Internet. Online courses are charged at a different hourly rate than regular courses. These rates are available at http://louisville.edu/finance/bursar/tuition. Students are charged in full for online courses according to those rates even if taking a full-time course load. 	  	TBA 	DISTNCE ED	3 of 50 	0 of 5 	Early, L 	3.00 	DISTANCEED
1214 	TA 	207 	75 	ENJOYMENT OF THEATRE-A 	TR	05:30pm-06:50pm 	HP115	3 of 28 	0 of 5 	Railey, R 	3.00 	BELKNAP
